Source, Destination, Travel Time
115, 214, 12.490000
115, 214, 6.810000
114, 213, 29.459999
114, 213, 25.700001
122, 206, 13.420000
115, 206, 25.770000
122, 206, 10.990000
115, 222, 56.430000
123, 206, 60.480000
123, 206, 59.970001
114, 215, 56.340000
123, 213, 65.440002
114, 206, 60.139999
101, 202, 51.459999
101, 206, 69.889999
114, 215, 42.459999
101, 203, 49.369999
114, 221, 58.790001
114, 221, 60.540001
101, 213, 65.529999
101, 221, 57.500000
101, 203, 42.599998
101, 202, 27.790001
114, 221, 45.990002
114, 221, 43.250000
102, 201, 49.509998
114, 213, 79.099998
123, 202, 6.810000
101, 215, 128.850006
114, 213, 109.519997
114, 222, 102.900002
114, 213, 111.190002
101, 215, 100.830002
115, 206, 116.889999
122, 221, 43.369999
114, 222, 97.919998
112, 202, 102.169998
115, 206, 112.120003
101, 214, 105.669998
114, 203, 141.889999
121, 213, 84.110001
114, 203, 132.190002
122, 201, 102.239998
114, 201, 110.889999
114, 206, 100.879997
121, 213, 58.880001
114, 203, 129.559998
114, 201, 128.410004
114, 201, 128.929993
114, 206, 103.779999
114, 215, 89.169998
115, 201, 147.300003
114, 201, 118.680000
101, 202, 68.510002
114, 215, 83.940002
115, 203, 97.660004
114, 201, 116.190002
101, 202, 31.080000
114, 221, 91.709999
101, 203, 142.750000
114, 206, 90.989998
102, 201, 96.099998
102, 201, 64.480003
121, 206, 19.139999
123, 201, 61.779999
113, 215, 6.810000
122, 203, 10.730000
101, 213, 192.880005
122, 214, 74.290001
122, 214, 96.400002
112, 213, 54.279999
114, 201, 167.610001
114, 201, 163.110001
122, 213, 46.680000
115, 201, 182.470001
114, 201, 180.100006
114, 206, 138.960007
112, 213, 12.630000
114, 215, 137.050003
114, 206, 133.809998
112, 214, 9.710000
114, 215, 111.949997
114, 206, 125.279999
114, 213, 260.730011
123, 202, 32.490002
123, 202, 22.469999
114, 202, 322.119995
123, 201, 12.360000
115, 214, 154.380005
123, 201, 8.190000
115, 214, 156.149994
114, 213, 239.350006
114, 213, 207.229996
115, 206, 234.979996
122, 221, 77.559998
114, 202, 344.019989
122, 206, 31.639999
122, 206, 28.139999
112, 214, 41.189999
121, 214, 31.500000
114, 203, 286.329987
112, 213, 18.270000
114, 222, 266.320007
122, 214, 23.280001
114, 203, 287.220001
122, 201, 37.709999
114, 206, 174.089996
122, 213, 81.879997
114, 222, 263.890015
114, 203, 291.760010
114, 206, 178.660004
114, 222, 261.519989
114, 203, 311.250000
114, 206, 167.789993
114, 215, 156.259995
114, 206, 160.559998
101, 203, 341.029999
114, 206, 149.509995
101, 203, 331.799988
101, 221, 331.410004
101, 202, 212.050003
121, 206, 48.950001
101, 215, 364.529999
101, 222, 360.450012
122, 213, 36.959999
114, 215, 185.910004
114, 221, 326.500000
102, 203, 396.480011
123, 214, 383.140015
114, 221, 281.489990
122, 201, 65.430000
123, 214, 461.200012
112, 221, 162.179993
102, 206, 384.760010
123, 214, 389.399994
115, 221, 356.420013
102, 206, 379.730011
101, 221, 369.420013
112, 221, 124.889999
101, 221, 361.480011
102, 206, 347.529999
114, 215, 167.199997
114, 206, 177.860001
114, 221, 285.510010
101, 206, 380.950012
114, 206, 172.970001
101, 214, 384.859985
101, 222, 333.609985
101, 221, 352.320007
101, 214, 359.679993
101, 221, 335.929993
101, 206, 339.510010
114, 215, 159.309998
101, 221, 337.399994
101, 202, 213.000000
114, 215, 161.990005
121, 206, 10.230000
121, 206, 6.810000
122, 215, 103.839996
102, 215, 421.299988
122, 221, 46.759998
123, 202, 9.690000
122, 221, 38.400002
122, 206, 19.530001
101, 213, 403.309998
122, 201, 95.620003
114, 201, 438.670013
122, 214, 21.600000
114, 206, 205.669998
114, 215, 201.300003
114, 215, 194.570007
114, 215, 192.660004
114, 215, 195.350006
114, 206, 192.110001
102, 201, 12.280000
123, 202, 61.689999
122, 203, 78.680000
103, 215, 171.619995
122, 221, 87.209999
122, 221, 56.939999
122, 203, 43.029999
122, 203, 21.969999
103, 213, 56.799999
113, 206, 461.119995
122, 213, 59.099998
112, 206, 9.710000
102, 201, 85.739998
114, 213, 555.280029
102, 201, 16.240000
103, 202, 612.919983
115, 213, 583.669983
115, 213, 563.770020
122, 203, 56.689999
121, 215, 46.930000
114, 213, 579.919983
114, 213, 581.520020
122, 206, 107.309998
122, 202, 655.770020
122, 206, 41.299999
114, 203, 652.989990
112, 213, 27.049999
114, 222, 606.380005
114, 203, 643.440002
114, 222, 588.130005
122, 201, 37.810001
122, 201, 35.259998
114, 203, 644.469971
114, 222, 658.469971
114, 203, 616.789978
114, 203, 595.380005
121, 201, 359.209991
122, 203, 66.739998
103, 214, 64.910004
122, 206, 59.669998
122, 221, 16.809999
103, 213, 99.629997
122, 201, 108.160004
122, 213, 72.050003
122, 213, 85.169998
112, 213, 18.680000
