Source, Destination, Travel Time
114, 222, 17.510000
115, 214, 6.810000
115, 213, 24.670000
114, 202, 51.849998
115, 213, 9.430000
114, 213, 56.419998
114, 213, 51.770000
101, 202, 41.299999
101, 202, 44.580002
103, 222, 25.510000
122, 203, 71.379997
114, 203, 84.589996
101, 202, 35.990002
115, 222, 78.690002
115, 203, 85.290001
114, 215, 54.980000
103, 221, 45.950001
114, 222, 81.699997
114, 203, 100.660004
114, 221, 71.129997
122, 214, 80.040001
114, 206, 65.820000
114, 221, 67.610001
114, 203, 74.959999
103, 214, 45.000000
101, 203, 75.870003
122, 213, 60.910000
114, 202, 109.040001
122, 203, 10.030000
114, 206, 58.279999
122, 213, 61.049999
114, 222, 69.760002
101, 206, 99.389999
114, 221, 63.830002
123, 201, 48.290001
101, 221, 81.349998
101, 203, 77.500000
101, 206, 103.110001
112, 214, 9.710000
114, 215, 51.990002
101, 222, 49.020000
101, 203, 66.000000
113, 214, 46.189999
114, 221, 56.970001
123, 206, 100.839996
123, 203, 60.770000
102, 206, 81.800003
115, 221, 95.129997
114, 213, 127.639999
115, 206, 94.599998
115, 213, 91.019997
122, 202, 145.690002
115, 214, 25.790001
114, 201, 106.870003
114, 201, 110.809998
114, 213, 112.690002
101, 215, 123.620003
114, 213, 106.790001
123, 215, 110.330002
101, 214, 164.130005
114, 215, 113.430000
101, 214, 125.820000
114, 215, 110.709999
112, 206, 9.710000
101, 222, 120.089996
114, 215, 110.459999
102, 201, 65.750000
114, 215, 105.650002
101, 203, 123.459999
123, 203, 88.309998
114, 221, 127.150002
114, 215, 99.769997
123, 201, 35.389999
114, 221, 117.610001
112, 221, 20.860001
102, 203, 19.000000
114, 206, 101.959999
122, 213, 149.630005
114, 201, 181.520004
114, 201, 188.899994
101, 215, 185.800003
114, 201, 177.649994
114, 201, 162.369995
123, 215, 135.949997
114, 201, 209.369995
114, 201, 217.250000
101, 213, 282.459991
123, 214, 147.880005
114, 203, 219.970001
112, 214, 32.180000
114, 215, 156.389999
101, 213, 255.199997
114, 203, 219.070007
113, 222, 259.829987
101, 213, 249.270004
115, 203, 215.419998
115, 222, 236.889999
103, 213, 167.710007
114, 215, 156.820007
112, 222, 124.949997
114, 203, 210.649994
122, 221, 34.450001
102, 213, 164.820007
112, 203, 90.750000
114, 222, 225.520004
101, 213, 225.529999
122, 214, 35.790001
114, 222, 223.119995
114, 221, 168.410004
